List of Courses for 2020 Spring Semester,,,,,,,,
#,Course Code,Title,_L_T_P_C_ ,Total Student,Course Coordinator,Course Instructor,Slot,Room No
54,CE 306,Structural Mechanics-III,2 - 1 - 0 - 3,34,Dr. Kaustav Bakshi,"Dr. Kaustav Bakshi, Prof. Sandeep Chaudhary,",E,1E-202B
55,MM 208,Theory of Metal Forming,2 - 1 - 0 - 3,30,Dr. Eswara Prasad Korimilli,"Dr. Eswara Prasad Korimilli,",E,1E-404
56,MM 306,Powder Metallurgy,2 - 1 - 0 - 3,32,Dr. Dudekula Althaf Basha,"Dr. Dudekula Althaf Basha, Dr. Ram Sajeevan Maurya,",E,1E-408
57,HS 108,Fundamentals of Economics,3 - 0 - 0 - 3,287,Dr. Ruchi Sharma,"Dr. Pritee Sharma, Dr. Ruchi Sharma,",F,1B-201
58,CS 308,Compiler Techniques,2 - 1 - 0 - 3,65,Dr. Gourinath Banda,"Dr. Anirban Sengupta, Dr. Aruna Tiwari, Dr. Gourinath Banda, Dr. Kapil Ahuja, Dr. Puneet Gupta, Dr. Somnath Dey, Dr. Surya Prakash,",F,1E-506
59,EE 206,Electrical Machines and Power Electronics,2 - 1 - 0 - 3,63,Dr. Amod C. Umarikar,"Dr. Amod C. Umarikar,",F,0
60,ME 308,Quality Management,2 - 1 - 0 - 3,57,Prof. Neelesh K. Jain,"Prof. Neelesh K. Jain,",F,0
61,CE 206,Geodesy-I,2 - 1 - 0 - 3,66,Dr. Lalit Borana,Dr. Lalit Borana,F,IE-202A
62,CE 308,Design of Structure-II,2 - 1 - 0 - 3,34,Dr. Guru Prakash,"Dr. Guru Prakash,",F,1E-202B
63,MM 308,Thin Films and Nano-structures,2 - 1 - 0 - 3,33,Dr. Rupesh S. Devan,"Dr. Rupesh S. Devan,",F,1E-406
64,ME 472/672,Reliability Engineering,2 - 0 - 2 - 3,106,Dr. Bhupesh K. Lad,"Dr. Bhupesh K. Lad,",F,0
65,ME 206,Thermodynamics,3 - 1 - 0 - 4,63,Dr. Ritunesh Kumar,"Dr. Ritunesh Kumar, Dr. S. Dhinakaran,",F,0
66,MA 204,Numerical Methods,3 - 0 - 2 - 4,275,Dr. Bapan Ghosh,"Dr. Bapan Ghosh, Dr. Vinay Kumar Gupta,",G,1B-201
67,HS 412/612,Contemporary Indian Thought,2 - 1 - 0 - 3,184,Dr. Shomik Dasgupta,"Dr. Shomik Dasgupta,",H,1B-201
68,HS 208,French Language-II,2 - 1 - 0 - 3,12,Dr. Shomik Dasgupta,"Dr. Shomik Dasgupta,",I,1E-202A
69,ES 302,Environmental Studies:Scientific and Engineering Aspects,3 - 0 - 0 - 1.5,268,Dr. Mohd. Farooq Azam,"Dr. Mohd. Farooq Azam,",I,1B-201
70,HS 302,Environmental Studies:Social Aspects,3 - 0 - 0 - 1.5,245,Dr. Ashok Kumar Mocherla,"Dr. Akshaya Kumar, Dr. Ashok Kumar Mocherla,",I,1B-201
71,CE 304,Soil Mechanics-II,2 - 1 - 0 - 3,34,Dr. Neelima Satyam,"Dr. Neelima Satyam,",J,1E-202B
72,ME 306,Machine Design-I,2 - 2 - 0 - 4,59,Dr. Indrasen Singh,"Dr. Indrasen Singh,",J,0
73,MM 310,Ceramics Technology,2 - 1 - 0 - 3,32,Dr. Dhirendra Kumar Rai,"Dr. Abhijit Ghosh, Dr. Dhirendra Kumar Rai,",J,1E-406
