Room Wise Time Table for 2020 Spring Semester (Lectures & Tutorials) ,,,,,,,,,,,
Day,Room,08:00 - 08:55,09:00 - 09:55,10:00 - 10:55,11:00 - 11:55,12:00 - 12:55,13:00 - 13:55,14:00 - 14:55,15:00 - 15:55,16:00 - 16:55,17:00 - 17:55
,1E -205,,T:EE 430/630,T:EE 440/640,L:MA 610,,T:EE 428/628,T:EE 431/631,L:MA 680,T:EE 447/647,T:IHS 443/643
,1E -303,,T:ME 401,L:ME 202,L:ME 204,,T:MA 742,T:EE 642,L:MA 736,T:EE 644,
,1E -304,,,T:ME 302,T:HS 418/618,T:ME 304,T:CE 436,,,T:CS 419/619,T:ME 306
,1E -305,,,T:PH 790,T:ME 464/764,L:PH 624,T:ME 460/660,T:ME 438/738,L:ME 413/613,T:ME 418/618,
,1E -404,,,T:MM 202,L:MM 206,T:MM 208,,T:PH 620,,T:PH 622,
,1E -406,,T:MM 442/642,T:MM 402/602,L:MM 304,T:MM 306,,T:MM 488/688,,,T:MM 310
,1E -408,,T:CE 438,T:CE 402,T:AA 472N/672N,,,T:CE 404,,,
,1E -505,,T:CS 204,T:CS 202,L:CS 208,,,T:AA 478/678,,T:AA 602N,
,1E -506,,T:HS 747,T:CS 302,L:CS 306,,T:CS 417/617,,,T:MSE 725,
,1B -201,L: MA 106(B),,T:CH 103,L:CS 103,,,,,,
,1D -207,,,,,,,,L:MSE 724,T:MM 646,
,1D -105,,,,,,,,,,
,SB -115,,,,,,,,,,
,SB -208,,,L:CH 642,T:CH 604,T:CH 602,,T:CH 624,L:CH 706,T:CH 708,
,SB -209,,,,,,T:BSE 602,T:BSE 607,,,
,SB -314A,,,,,,T:BSE 606,T:BSE 610,L:BSE 614,,
,SB -314B,,,,,,T:BSE 612,,,,
Saturday ,1E -104,,,,,T:HS 206,,,,,
,1E -201,,,,,,,,,,
,1E -202A,,,,,T:HS 210,,,,,
,1E -202B,,,,T:HS 208,,,,,,
,1E  -203,,,,,T:HS 214,,,,,
,1E -204,,,,,T:HS 216,,,,,
,1E -205,,,,,,,,,,
,1E -303,,,,,,,,,,
,1E -304,,,,,T:CH 202,,,,,
,1E -305,,,,,T:AA 202N,,,,,
,1E -404,,,,,,,,,,
,1E -406,,,,,,,,,,
,1E -408,,,,,,,,,,
,1E -505,,,,,,,,,,
,1E -506,,,,,,,,,,
,1B -201,,,,L:HS 302/ ES 302,,,L:HS 412/612,T:HS 412/612,,
,1D -207,,,,,,,,,,
,1D -105,,,,,,,,,,
,SB -115,,,,,,,,,,
,SB -209,,,,,,,,,,
,SB -314A,,,,,,,,,,
,SB -314B,,,,,,,,,,
